page,section,qnumb,question,isbn
229,7.A,18,"Prove or give a counterexample: If $T \in \mathcal{L}(V)$ and there exists an orthonormal basis $e_{1}, \ldots, e_{n}$ of $V$ such that $\left\|T e_{j}\right\|=\left\|T^{*} e_{j}\right\|$ for each $j$, then $T$ is normal.",978-3-319-11079-0
229,7.A,19,"Suppose $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ is normal and $T(1,1,1)=(2,2,2)$. Suppose $\left(z_{1}, z_{2}, z_{3}\right) \in \operatorname{null} T$. Prove that $z_{1}+z_{2}+z_{3}=0$.",978-3-319-11079-0
229,7.A,20,"Suppose $T \in \mathcal{L}(V, W)$ and $\mathbf{F}=\mathbf{R}$. Let $\Phi_{V}$ be the isomorphism from $V$ onto the dual space $V^{\prime}$ given by Exercise $17$ in Section 6.B, and let $\Phi_{W}$ be the corresponding isomorphism from $W$ onto $W^{\prime}$. Show that if $\Phi_{V}$ and $\Phi_{W}$ are used to identify $V$ and $W$ with $V^{\prime}$ and $W^{\prime}$, then $T^{*}$ is identified with the dual map $T^{\prime}$. More precisely, show that $\Phi_{V} \circ T^{*}=T^{\prime} \circ \Phi_{W}$.",978-3-319-11079-0
229,7.A,21,"Fix a positive integer $n$. In the inner product space of continuous realvalued functions on $[-\pi, \pi]$ with inner product \[ \langle f, g\rangle=\int_{-\pi}^{\pi} f(x) g(x) d x \] let \[ V=\operatorname{span}(1, \cos x, \cos 2 x, \ldots, \cos n x, \sin x, \sin 2 x, \ldots, \sin n x) . \] (a) Define $D \in \mathcal{L}(V)$ by $D f=f^{\prime}$. Show that $D^{*}=-D$. Conclude that $D$ is normal but not self-adjoint. (b) Define $T \in \mathcal{L}(V)$ by $T f=f^{\prime \prime}$. Show that $T$ is self-adjoint.",978-3-319-11079-0
238,7.B,1,True or false (and give a proof of your answer): There exists $T \in \mathcal{L}\left(\mathbf{R}^{3}\right)$ such that $T$ is not self-adjoint (with respect to the usual inner product) and such that there is a basis of $\mathbf{R}^{3}$ consisting of eigenvectors of $T$.,978-3-319-11079-0
238,7.B,2,Suppose that $T$ is a self-adjoint operator on a finite-dimensional inner product space and that $2$ and $3$ are the only eigenvalues of $T$. Prove that $T^{2}-5 T+6 I=0$.,978-3-319-11079-0
238,7.B,3,Give an example of an operator $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ such that $2$ and $3$ are the only eigenvalues of $T$ and $T^{2}-5 T+6 I \neq 0$.,978-3-319-11079-0
238,7.B,4,"Suppose $\mathbf{F}=\mathbf{C}$ and $T \in \mathcal{L}(V)$. Prove that $T$ is normal if and only if all pairs of eigenvectors corresponding to distinct eigenvalues of $T$ are orthogonal and \[ V=E\left(\lambda_{1}, T\right) \oplus \cdots \oplus E\left(\lambda_{m}, T\right) \] where $\lambda_{1}, \ldots, \lambda_{m}$ denote the distinct eigenvalues of $T$.",978-3-319-11079-0
238,7.B,5,"Suppose $\mathbf{F}=\mathbf{R}$ and $T \in \mathcal{L}(V)$. Prove that $T$ is self-adjoint if and only if all pairs of eigenvectors corresponding to distinct eigenvalues of $T$ are orthogonal and \[ V=E\left(\lambda_{1}, T\right) \oplus \cdots \oplus E\left(\lambda_{m}, T\right) \] where $\lambda_{1}, \ldots, \lambda_{m}$ denote the distinct eigenvalues of $T$.",978-3-319-11079-0
238,7.B,6,Prove that a normal operator on a complex inner product space is selfadjoint if and only if all its eigenvalues are real. [The exercise above strengthens the analogy (for normal operators) between self-adjoint operators and real numbers.],978-3-319-11079-0
238,7.B,7,Suppose $V$ is a complex inner product space and $T \in \mathcal{L}(V)$ is a normal operator such that $T^{9}=T^{8}$. Prove that $T$ is self-adjoint and $T^{2}=T$.,978-3-319-11079-0
238,7.B,8,Give an example of an operator $T$ on a complex vector space such that $T^{9}=T^{8}$ but $T^{2} \neq T$.,978-3-319-11079-0
238,7.B,9,Suppose $V$ is a complex inner product space. Prove that every normal operator on $V$ has a square root. (An operator $S \in \mathcal{L}(V)$ is called a square root of $T \in \mathcal{L}(V)$ if $S^{2}=T$.),978-3-319-11079-0
238,7.B,224,CHAPTER $7$ Operators on Inner Product Spaces,978-3-319-11079-0
238,7.B,10,"Give an example of a real inner product space $V$ and $T \in \mathcal{L}(V)$ and real numbers $b, c$ with $b^{2}<4 c$ such that $T^{2}+b T+c I$ is not invertible. [The exercise above shows that the hypothesis that $T$ is self-adjoint is needed in 7.26, even for real vector spaces.]",978-3-319-11079-0
238,7.B,11,Prove or give a counterexample: every self-adjoint operator on $V$ has a cube root. (An operator $S \in \mathcal{L}(V)$ is called a cube root of $T \in \mathcal{L}(V)$ if $S^{3}=T$.),978-3-319-11079-0
238,7.B,12,"Suppose $T \in \mathcal{L}(V)$ is self-adjoint, $\lambda \in \mathbf{F}$, and $\epsilon>0$. Suppose there exists $v \in V$ such that $\|v\|=1$ and \[ \|T v-\lambda v\|<\epsilon \]  Prove that $T$ has an eigenvalue $\lambda^{\prime}$ such that $\left|\lambda-\lambda^{\prime}\right|<\epsilon$.",978-3-319-11079-0
238,7.B,13,Give an alternative proof of the Complex Spectral Theorem that avoids Schur's Theorem and instead follows the pattern of the proof of the Real Spectral Theorem.,978-3-319-11079-0
238,7.B,14,Suppose $U$ is a finite-dimensional real vector space and $T \in \mathcal{L}(U)$. Prove that $U$ has a basis consisting of eigenvectors of $T$ if and only if there is an inner product on $U$ that makes $T$ into a self-adjoint operator.,978-3-319-11079-0
238,7.B,15,Find the matrix entry below that is covered up.,978-3-319-11079-0
246,7.C,1,"Prove or give a counterexample: If $T \in \mathcal{L}(V)$ is self-adjoint and there exists an orthonormal basis $e_{1}, \ldots, e_{n}$ of $V$ such that $\left\langle T e_{j}, e_{j}\right\rangle \geq 0$ for each $j$, then $T$ is a positive operator.",978-3-319-11079-0
246,7.C,2,"Suppose $T$ is a positive operator on $V$. Suppose $v, w \in V$ are such that \[ T v=w \quad \text { and } \quad T w=v . \]  Prove that $v=w$.",978-3-319-11079-0
246,7.C,3,Suppose $T$ is a positive operator on $V$ and $U$ is a subspace of $V$ invariant under $T$. Prove that $\left.T\right|_{U} \in \mathcal{L}(U)$ is a positive operator on $U$.,978-3-319-11079-0
246,7.C,4,"Suppose $T \in \mathcal{L}(V, W)$. Prove that $T^{*} T$ is a positive operator on $V$ and $T T^{*}$ is a positive operator on $W$.",978-3-319-11079-0
246,7.C,232,CHAPTER $7$ Operators on Inner Product Spaces,978-3-319-11079-0
246,7.C,5,Prove that the sum of two positive operators on $V$ is positive.,978-3-319-11079-0
246,7.C,6,Suppose $T \in \mathcal{L}(V)$ is positive. Prove that $T^{k}$ is positive for every positive integer $k$.,978-3-319-11079-0
246,7.C,7,"Suppose $T$ is a positive operator on $V$. Prove that $T$ is invertible if and only if \[ \langle T v, v\rangle>0 \] for every $v \in V$ with $v \neq 0$.",978-3-319-11079-0
246,7.C,8,"Suppose $T \in \mathcal{L}(V)$. For $u, v \in V$, define $\langle u, v\rangle_{T}$ by \[ \langle u, v\rangle_{T}=\langle T u, v\rangle . \]  Prove that $\langle\cdot, \cdot\rangle_{T}$ is an inner product on $V$ if and only if $T$ is an invertible positive operator (with respect to the original inner product $\langle\cdot, \cdot\rangle$ ).",978-3-319-11079-0
246,7.C,9,Prove or disprove: the identity operator on $\mathbf{F}^{2}$ has infinitely many selfadjoint square roots.,978-3-319-11079-0
246,7.C,10,"Suppose $S \in \mathcal{L}(V)$. Prove that the following are equivalent: (a) $S$ is an isometry; (b) $\left\langle S^{*} u, S^{*} v\right\rangle=\langle u, v\rangle$ for all $u, v \in V$; (c) $S^{*} e_{1}, \ldots, S^{*} e_{m}$ is an orthonormal list for every orthonormal list of vectors $e_{1}, \ldots, e_{m}$ in $V$; (d) $S^{*} e_{1}, \ldots, S^{*} e_{n}$ is an orthonormal basis for some orthonormal basis $e_{1}, \ldots, e_{n}$ of $V$.",978-3-319-11079-0
246,7.C,11,"Suppose $T_{1}, T_{2}$ are normal operators on $\mathcal{L}\left(\mathbf{F}^{3}\right)$ and both operators have 2, 5, $7$ as eigenvalues. Prove that there exists an isometry $S \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ such that $T_{1}=S^{*} T_{2} S$.",978-3-319-11079-0
246,7.C,12,"Give an example of two self-adjoint operators $T_{1}, T_{2} \in \mathcal{L}\left(\mathbf{F}^{4}\right)$ such that the eigenvalues of both operators are 2, 5,7 but there does not exist an isometry $S \in \mathcal{L}\left(\mathbf{F}^{4}\right)$ such that $T_{1}=S^{*} T_{2} S$. Be sure to explain why there is no isometry with the required property.",978-3-319-11079-0
246,7.C,13,"Prove or give a counterexample: if $S \in \mathcal{L}(V)$ and there exists an orthonormal basis $e_{1}, \ldots, e_{n}$ of $V$ such that $\left\|S e_{j}\right\|=1$ for each $e_{j}$, then $S$ is an isometry.",978-3-319-11079-0
246,7.C,14,Let $T$ be the second derivative operator in Exercise $21$ in Section 7.A. Show that $-T$ is a positive operator.,978-3-319-11079-0
253,7.D,1,"Fix $u, x \in V$ with $u \neq 0$. Define $T \in \mathcal{L}(V)$ by \[ T v=\langle v, u\rangle x \] for every $v \in V$. Prove that \[ \sqrt{T^{*} T} v=\frac{\|x\|}{\|u\|}\langle v, u\rangle u \] for every $v \in V$.",978-3-319-11079-0
253,7.D,2,"Give an example of $T \in \mathcal{L}\left(\mathbf{C}^{2}\right)$ such that $0$ is the only eigenvalue of $T$ and the singular values of $T$ are $5,0$. SECTION 7.D Polar Decomposition and Singular Value Decomposition",978-3-319-11079-0
253,7.D,239,,978-3-319-11079-0
253,7.D,3,Suppose $T \in \mathcal{L}(V)$. Prove that there exists an isometry $S \in \mathcal{L}(V)$ such that \[ T=\sqrt{T T^{*}} S \],978-3-319-11079-0
253,7.D,4,Suppose $T \in \mathcal{L}(V)$ and $s$ is a singular value of $T$. Prove that there exists a vector $v \in V$ such that $\|v\|=1$ and $\|T v\|=s$.,978-3-319-11079-0
253,7.D,5,"Suppose $T \in \mathcal{L}\left(\mathbf{C}^{2}\right)$ is defined by $T(x, y)=(-4 y, x)$. Find the singular values of $T$.",978-3-319-11079-0
253,7.D,6,"Find the singular values of the differentiation operator $D \in \mathcal{P}\left(\mathbf{R}^{2}\right)$ defined by $D p=p^{\prime}$, where the inner product on $\mathcal{P}\left(\mathbf{R}^{2}\right)$ is as in Example $6.33$. $7 \quad$ Define $T \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ by \[ T\left(z_{1}, z_{2}, z_{3}\right)=\left(z_{3}, 2 z_{1}, 3 z_{2}\right) \text {. } \]  Find (explicitly) an isometry $S \in \mathcal{L}\left(\mathbf{F}^{3}\right)$ such that $T=S \sqrt{T^{*} T}$.",978-3-319-11079-0
253,7.D,8,"Suppose $T \in \mathcal{L}(V), S \in \mathcal{L}(V)$ is an isometry, and $R \in \mathcal{L}(V)$ is a positive operator such that $T=S R$. Prove that $R=\sqrt{T^{*} T}$. [The exercise above shows that if we write $T$ as the product of an isometry and a positive operator (as in the Polar Decomposition 7.45), then the positive operator equals $\sqrt{T^{*} T}$.]",978-3-319-11079-0
253,7.D,9,Suppose $T \in \mathcal{L}(V)$. Prove that $T$ is invertible if and only if there exists a unique isometry $S \in \mathcal{L}(V)$ such that $T=S \sqrt{T^{*} T}$.,978-3-319-11079-0
253,7.D,10,"Suppose $T \in \mathcal{L}(V)$ is self-adjoint. Prove that the singular values of $T$ equal the absolute values of the eigenvalues of $T$, repeated appropriately.",978-3-319-11079-0
253,7.D,11,Suppose $T \in \mathcal{L}(V)$. Prove that $T$ and $T^{*}$ have the same singular values.,978-3-319-11079-0
253,7.D,12,"Prove or give a counterexample: if $T \in \mathcal{L}(V)$, then the singular values of $T^{2}$ equal the squares of the singular values of $T$.",978-3-319-11079-0
253,7.D,13,Suppose $T \in \mathcal{L}(V)$. Prove that $T$ is invertible if and only if $0$ is not a singular value of $T$.,978-3-319-11079-0
253,7.D,14,Suppose $T \in \mathcal{L}(V)$. Prove that dim range $T$ equals the number of nonzero singular values of $T$.,978-3-319-11079-0
253,7.D,15,Suppose $S \in \mathcal{L}(V)$. Prove that $S$ is an isometry if and only if all the singular values of $S$ equal $1$.,978-3-319-11079-0
253,7.D,240,CHAPTER $7$ Operators on Inner Product Spaces,978-3-319-11079-0
253,7.D,16,"Suppose $T_{1}, T_{2} \in \mathcal{L}(V)$. Prove that $T_{1}$ and $T_{2}$ have the same singular values if and only if there exist isometries $S_{1}, S_{2} \in \mathcal{L}(V)$ such that $T_{1}=S_{1} T_{2} S_{2}$.",978-3-319-11079-0
253,7.D,17,"Suppose $T \in \mathcal{L}(V)$ has singular value decomposition given by \[ T v=s_{1}\left\langle v, e_{1}\right\rangle f_{1}+\cdots+s_{n}\left\langle v, e_{n}\right\rangle f_{n} \] for every $v \in V$, where $s_{1}, \ldots, s_{n}$ are the singular values of $T$ and $e_{1}, \ldots, e_{n}$ and $f_{1}, \ldots, f_{n}$ are orthonormal bases of $V$. (a) Prove that if $v \in V$, then \[ T^{*} v=s_{1}\left\langle v, f_{1}\right\rangle e_{1}+\cdots+s_{n}\left\langle v, f_{n}\right\rangle e_{n} . \] (b) Prove that if $v \in V$, then \[ T^{*} T v=s_{1}^{2}\left\langle v, e_{1}\right\rangle e_{1}+\cdots+s_{n}^{2}\left\langle v, e_{n}\right\rangle e_{n} . \] (c) Prove that if $v \in V$, then \[ \sqrt{T^{*} T} v=s_{1}\left\langle v, e_{1}\right\rangle e_{1}+\cdots+s_{n}\left\langle v, e_{n}\right\rangle e_{n} . \] (d) Suppose $T$ is invertible. Prove that if $v \in V$, then \[ T^{-1} v=\frac{\left\langle v, f_{1}\right\rangle e_{1}}{s_{1}}+\cdots+\frac{\left\langle v, f_{n}\right\rangle e_{n}}{s_{n}} \] for every $v \in V$.",978-3-319-11079-0
253,7.D,18,"Suppose $T \in \mathcal{L}(V)$. Let $\hat{s}$ denote the smallest singular value of $T$, and let $s$ denote the largest singular value of $T$. (a) Prove that $\hat{s}\|v\| \leq\|T v\| \leq s\|v\|$ for every $v \in V$. (b) Suppose $\lambda$ is an eigenvalue of $T$. Prove that $\hat{s} \leq|\lambda| \leq s$.",978-3-319-11079-0
253,7.D,19,"Suppose $T \in \mathcal{L}(V)$. Show that $T$ is uniformly continuous with respect to the metric $d$ on $V$ defined by $d(u, v)=\|u-v\|$.",978-3-319-11079-0
253,7.D,20,"Suppose $S, T \in \mathcal{L}(V)$. Let $s$ denote the largest singular value of $S$, let $t$ denote the largest singular value of $T$, and let $r$ denote the largest singular value of $S+T$. Prove that $r \leq s+t$.",978-3-319-11079-0
264,8.A,1,"Define $T \in \mathcal{L}\left(\mathbf{C}^{2}\right)$ by \[ T(w, z)=(z, 0) . \]  Find all generalized eigenvectors of $T$.",978-3-319-11079-0
264,8.A,2,"Define $T \in \mathcal{L}\left(\mathbf{C}^{2}\right)$ by \[ T(w, z)=(-z, w) . \]  Find the generalized eigenspaces corresponding to the distinct eigenvalues of $T$.",978-3-319-11079-0
264,8.A,250,CHAPTER $8$ Operators on Complex Vector Spaces,978-3-319-11079-0
264,8.A,3,"Suppose $T \in \mathcal{L}(V)$ is invertible. Prove that $G(\lambda, T)=G\left(\frac{1}{\lambda}, T^{-1}\right)$ for every $\lambda \in \mathbf{F}$ with $\lambda \neq 0$.",978-3-319-11079-0
264,8.A,4,"Suppose $T \in \mathcal{L}(V)$ and $\alpha, \beta \in \mathbf{F}$ with $\alpha \neq \beta$. Prove that \[ G(\alpha, T) \cap G(\beta, T)=\{0\} . \]",978-3-319-11079-0
264,8.A,5,"Suppose $T \in \mathcal{L}(V), m$ is a positive integer, and $v \in V$ is such that $T^{m-1} v \neq 0$ but $T^{m} v=0$. Prove that \[ v, T v, T^{2} v, \ldots, T^{m-1} v \] is linearly independent.",978-3-319-11079-0
264,8.A,6,"Suppose $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ is defined by $T\left(z_{1}, z_{2}, z_{3}\right)=\left(z_{2}, z_{3}, 0\right)$. Prove that $T$ has no square root. More precisely, prove that there does not exist $S \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ such that $S^{2}=T$.",978-3-319-11079-0
264,8.A,7,Suppose $N \in \mathcal{L}(V)$ is nilpotent. Prove that $0$ is the only eigenvalue of $N$.,978-3-319-11079-0
264,8.A,8,Prove or give a counterexample: The set of nilpotent operators on $V$ is a subspace of $\mathcal{L}(V)$.,978-3-319-11079-0
264,8.A,9,"Suppose $S, T \in \mathcal{L}(V)$ and $S T$ is nilpotent. Prove that $T S$ is nilpotent.",978-3-319-11079-0
264,8.A,10,Suppose that $T \in \mathcal{L}(V)$ is not nilpotent. Let $n=\operatorname{dim} V$. Show that $V=\operatorname{null} T^{n-1} \oplus \operatorname{range} T^{n-1}$.,978-3-319-11079-0
264,8.A,11,"Prove or give a counterexample: If $V$ is a complex vector space and $\operatorname{dim} V=n$ and $T \in \mathcal{L}(V)$, then $T^{n}$ is diagonalizable.",978-3-319-11079-0
264,8.A,12,Suppose $N \in \mathcal{L}(V)$ and there exists a basis of $V$ with respect to which $N$ has an upper-triangular matrix with only $0$ 's on the diagonal. Prove that $N$ is nilpotent.,978-3-319-11079-0
264,8.A,13,Suppose $V$ is an inner product space and $N \in \mathcal{L}(V)$ is normal and nilpotent. Prove that $N=0$.,978-3-319-11079-0
264,8.A,14,"Suppose $V$ is an inner product space and $N \in \mathcal{L}(V)$ is nilpotent. Prove that there exists an orthonormal basis of $V$ with respect to which $N$ has an upper-triangular matrix. [If $F=\mathbf{C}$, then the result above follows from Schur's Theorem (6.38) without the hypothesis that $N$ is nilpotent. Thus the exercise above needs to be proved only when $\mathbf{F}=\mathbf{R}$.] SECTION 8.A Generalized Eigenvectors and Nilpotent Operators",978-3-319-11079-0
264,8.A,251,,978-3-319-11079-0
264,8.A,15,Suppose $N \in \mathcal{L}(V)$ is such that null $N^{\operatorname{dim} V-1} \neq \operatorname{null} N^{\operatorname{dim} V}$. Prove that $N$ is nilpotent and that \[ \operatorname{dim} \operatorname{null} N^{j}=j \] for every integer $j$ with $0 \leq j \leq \operatorname{dim} V$.,978-3-319-11079-0
264,8.A,16,Suppose $T \in \mathcal{L}(V)$. Show that \[ V=\operatorname{range} T^{0} \supset \operatorname{range} T^{1} \supset \cdots \supset \operatorname{range} T^{k} \supset \operatorname{range} T^{k+1} \supset \cdots \text {. } \],978-3-319-11079-0
264,8.A,17,Suppose $T \in \mathcal{L}(V)$ and $m$ is a nonnegative integer such that \[ \text { range } T^{m}=\operatorname{range} T^{m+1} \text {. } \]  Prove that range $T^{k}=\operatorname{range} T^{m}$ for all $k>m$.,978-3-319-11079-0
264,8.A,18,Suppose $T \in \mathcal{L}(V)$. Let $n=\operatorname{dim} V$. Prove that \[ \text { range } T^{n}=\operatorname{range} T^{n+1}=\operatorname{range} T^{n+2}=\cdots \text {. } \],978-3-319-11079-0
264,8.A,19,Suppose $T \in \mathcal{L}(V)$ and $m$ is a nonnegative integer. Prove that null $T^{m}=\operatorname{null} T^{m+1} \quad$ if and only if $\quad \operatorname{range} T^{m}=\operatorname{range} T^{m+1}$.,978-3-319-11079-0
264,8.A,20,Suppose $T \in \mathcal{L}\left(\mathbf{C}^{5}\right)$ is such that range $T^{4} \neq \operatorname{range} T^{5}$. Prove that $T$ is nilpotent.,978-3-319-11079-0
264,8.A,21,Find a vector space $W$ and $T \in \mathcal{L}(W)$ such that null $T^{k} \subsetneq \operatorname{null} T^{k+1}$ and range $T^{k} \supsetneq$ range $T^{k+1}$ for every positive integer $k$.,978-3-319-11079-0
274,8.B,1,"Suppose $V$ is a complex vector space, $N \in \mathcal{L}(V)$, and $0$ is the only eigenvalue of $N$. Prove that $N$ is nilpotent.",978-3-319-11079-0
274,8.B,2,Give an example of an operator $T$ on a finite-dimensional real vector space such that $0$ is the only eigenvalue of $T$ but $T$ is not nilpotent.,978-3-319-11079-0
274,8.B,260,CHAPTER $8$ Operators on Complex Vector Spaces,978-3-319-11079-0
274,8.B,3,Suppose $T \in \mathcal{L}(V)$. Suppose $S \in \mathcal{L}(V)$ is invertible. Prove that $T$ and $S^{-1} T S$ have the same eigenvalues with the same multiplicities.,978-3-319-11079-0
274,8.B,4,Suppose $V$ is an $n$-dimensional complex vector space and $T$ is an operator on $V$ such that null $T^{n-2} \neq \operatorname{null} T^{n-1}$. Prove that $T$ has at most two distinct eigenvalues.,978-3-319-11079-0
274,8.B,5,"Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$. Prove that $V$ has a basis consisting of eigenvectors of $T$ if and only if every generalized eigenvector of $T$ is an eigenvector of $T$. [For $\mathbf{F}=\mathbf{C}$, the exercise above adds an equivalence to the list in 5.41.]",978-3-319-11079-0
274,8.B,6,"Define $N \in \mathcal{L}\left(\mathbf{F}^{5}\right)$ by \[ N\left(x_{1}, x_{2}, x_{3}, x_{4}, x_{5}\right)=\left(2 x_{2}, 3 x_{3},-x_{4}, 4 x_{5}, 0\right) . \]  Find a square root of $I+N$. $7 \quad$ Suppose $V$ is a complex vector space. Prove that every invertible operator on $V$ has a cube root.",978-3-319-11079-0
274,8.B,8,Suppose $T \in \mathcal{L}(V)$ and $3$ and $8$ are eigenvalues of $T$. Let $n=\operatorname{dim} V$. Prove that $V=\left(\right.$ null $\left.T^{n-2}\right) \oplus\left(\right.$ range $\left.T^{n-2}\right)$.,978-3-319-11079-0
274,8.B,9,"Suppose $A$ and $B$ are block diagonal matrices of the form \[ A=\left(\begin{array}{ccc} A_{1} & & 0 \\ & \ddots & \\ 0 & & A_{m} \end{array}\right), \quad B=\left(\begin{array}{ccc} B_{1} & & 0 \\ & \ddots & \\ 0 & & B_{m} \end{array}\right), \] where $A_{j}$ has the same size as $B_{j}$ for $j=1, \ldots, m$. Show that $A B$ is a block diagonal matrix of the form \[ A B=\left(\begin{array}{ccc} A_{1} B_{1} & & 0 \\ & \ddots & \\ 0 & & A_{m} B_{m} \end{array}\right) . \]",978-3-319-11079-0
274,8.B,10,"Suppose $\mathbf{F}=\mathbf{C}$ and $T \in \mathcal{L}(V)$. Prove that there exist $D, N \in \mathcal{L}(V)$ such that $T=D+N$, the operator $D$ is diagonalizable, $N$ is nilpotent, and $D N=N D$.",978-3-319-11079-0
274,8.B,11,"Suppose $T \in \mathcal{L}(V)$ and $\lambda \in \mathbf{F}$. Prove that for every basis of $V$ with respect to which $T$ has an upper-triangular matrix, the number of times that $\lambda$ appears on the diagonal of the matrix of $T$ equals the multiplicity of $\lambda$ as an eigenvalue of $T$. SECTION 8.C Characteristic and Minimal Polynomials",978-3-319-11079-0
274,8.B,261,"8.C Characteristic and Minimal Polynomials  The Cayley-Hamilton Theorem The next definition associates a polynomial with each operator on $V$ if $\mathbf{F}=\mathbf{C}$. For $\mathbf{F}=\mathbf{R}$, the corresponding definition will be given in the next chapter. 8.34 Definition characteristic polynomial  Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$. Let $\lambda_{1}, \ldots, \lambda_{m}$ denote the distinct eigenvalues of $T$, with multiplicities $d_{1}, \ldots, d_{m}$. The polynomial \[ \left(z-\lambda_{1}\right)^{d_{1}} \cdots\left(z-\lambda_{m}\right)^{d_{m}} \] is called the characteristic polynomial of $T$. 8.35 Example Suppose $T \in \mathcal{L}\left(\mathbf{C}^{3}\right)$ is defined as in Example 8.25. Because the eigenvalues of $T$ are $6$, with multiplicity $2$, and $7$, with multiplicity $1$, we see that the characteristic polynomial of $T$ is $(z-6)^{2}(z-7)$. 8.36 Degree and zeros of characteristic polynomial  Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$. Then (a) the characteristic polynomial of $T$ has degree $\operatorname{dim} V$; (b) the zeros of the characteristic polynomial of $T$ are the eigenvalues of $T$.  Proof Clearly part (a) follows from $8.26$ and part (b) follows from the definition of the characteristic polynomial.  Most texts define the characteristic polynomial using determinants (the two definitions are equivalent by 10.25). The approach taken here, which is considerably simpler, leads to the following easy proof of the CayleyHamilton Theorem. In the next chapter, we will see that this result also holds on real vector spaces (see 9.24). 8.37 Cayley-Hamilton Theorem  Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$. Let $q$ denote the characteristic polynomial of $T$. Then $q(T)=0$.",978-3-319-11079-0
282,8.C,1,"Suppose $T \in \mathcal{L}\left(\mathbf{C}^{4}\right)$ is such that the eigenvalues of $T$ are 3, 5, 8. Prove that $(T-3 I)^{2}(T-5 I)^{2}(T-8 I)^{2}=0$.",978-3-319-11079-0
282,8.C,2,"Suppose $V$ is a complex vector space. Suppose $T \in \mathcal{L}(V)$ is such that $5$ and $6$ are eigenvalues of $T$ and that $T$ has no other eigenvalues. Prove that $(T-5 I)^{n-1}(T-6 I)^{n-1}=0$, where $n=\operatorname{dim} V$.",978-3-319-11079-0
282,8.C,3,Give an example of an operator on $\mathbf{C}^{4}$ whose characteristic polynomial equals $(z-7)^{2}(z-8)^{2}$.,978-3-319-11079-0
282,8.C,268,CHAPTER $8$ Operators on Complex Vector Spaces,978-3-319-11079-0
282,8.C,4,Give an example of an operator on $\mathbf{C}^{4}$ whose characteristic polynomial equals $(z-1)(z-5)^{3}$ and whose minimal polynomial equals $(z-1)(z-5)^{2}$.,978-3-319-11079-0
282,8.C,5,Give an example of an operator on $\mathbf{C}^{4}$ whose characteristic and minimal polynomials both equal $z(z-1)^{2}(z-3)$.,978-3-319-11079-0
282,8.C,6,Give an example of an operator on $\mathbf{C}^{4}$ whose characteristic polynomial equals $z(z-1)^{2}(z-3)$ and whose minimal polynomial equals $z(z-1)(z-3)$.,978-3-319-11079-0
282,8.C,7,"Suppose $V$ is a complex vector space. Suppose $T \in \mathcal{L}(V)$ is such that $P^{2}=P$. Prove that the characteristic polynomial of $P$ is $z^{m}(z-1)^{n}$, where $m=\operatorname{dim}$ null $P$ and $n=\operatorname{dim} \operatorname{range} P$.",978-3-319-11079-0
282,8.C,8,Suppose $T \in \mathcal{L}(V)$. Prove that $T$ is invertible if and only if the constant term in the minimal polynomial of $T$ is nonzero.,978-3-319-11079-0
282,8.C,9,Suppose $T \in \mathcal{L}(V)$ has minimal polynomial $4+5 z-6 z^{2}-7 z^{3}+2 z^{4}+z^{5}$. Find the minimal polynomial of $T^{-1}$.,978-3-319-11079-0
282,8.C,10,Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$ is invertible. Let $p$ denote the characteristic polynomial of $T$ and let $q$ denote the characteristic polynomial of $T^{-1}$. Prove that \[ q(z)=\frac{1}{p(0)} z^{\operatorname{dim} V} p\left(\frac{1}{z}\right) \] for all nonzero $z \in \mathbf{C}$.,978-3-319-11079-0
282,8.C,11,Suppose $T \in \mathcal{L}(V)$ is invertible. Prove that there exists a polynomial $p \in \mathcal{P}(\mathbf{F})$ such that $T^{-1}=p(T)$.,978-3-319-11079-0
282,8.C,12,"Suppose $V$ is a complex vector space and $T \in \mathcal{L}(V)$. Prove that $V$ has a basis consisting of eigenvectors of $T$ if and only if the minimal polynomial of $T$ has no repeated zeros. [For complex vector spaces, the exercise above adds another equivalence to the list given by 5.41.]",978-3-319-11079-0
282,8.C,13,Suppose $V$ is an inner product space and $T \in \mathcal{L}(V)$ is normal. Prove that the minimal polynomial of $T$ has no repeated zeros.,978-3-319-11079-0
282,8.C,14,Suppose $V$ is a complex inner product space and $S \in \mathcal{L}(V)$ is an isometry. Prove that the constant term in the characteristic polynomial of $S$ has absolute value $1$. SECTION 8.C Characteristic and Minimal Polynomials,978-3-319-11079-0
282,8.C,269,,978-3-319-11079-0
282,8.C,15,Suppose $T \in \mathcal{L}(V)$ and $v \in V$. (a) Prove that there exists a unique monic polynomial $p$ of smallest degree such that $p(T) v=0$. (b) Prove that $p$ divides the minimal polynomial of $T$.,978-3-319-11079-0
